question_text,option_a,option_b,option_c,option_d,correct_index,subject
Which process converts nitrogen into usable compounds?,Photosynthesis,Nitrogen fixation,Transpiration,Respiration,1,UPSC
Which latitude passes almost through the middle of India?,Equator,Tropic of Cancer,Tropic of Capricorn,Arctic Circle,1,UPSC
The term Gig Economy refers to?,Agricultural labor,Short-term freelance work,Public sector jobs,Manufacturing jobs,1,UPSC
Which committee recommended GST in India?,Kelkar Committee,Vijay Kelkar Committee,Chelliah Committee,Shanta Kumar Committee,1,UPSC
Which Indian monument is a UNESCO World Heritage Site?,Qutub Minar,Gateway of India,India Gate,Charminar,0,UPSC
Which article ensures equality before law?,Article 14,Article 19,Article 21,Article 32,0,UPSC
Which type of rainfall is most common in India?,Convectional,Frontal,Relief,Cyclonic,2,UPSC
Who was the founder of the Gupta dynasty?,Samudragupta,Chandragupta I,Chandragupta II,Skandagupta,1,UPSC
Which institution regulates banking in India?,SEBI,RBI,NABARD,IRDAI,1,UPSC
Which Indian wildlife sanctuary is famous for Asiatic lions?,Kaziranga,Gir,Corbett,Sundarbans,1,UPSC
The term Zero Hour is related to?,Judiciary,Parliament,Executive,Budget,1,UPSC
Which metal is used in nuclear reactors as fuel?,Uranium,Iron,Copper,Aluminium,0,UPSC
Which movement aimed at removal of untouchability?,Swadeshi,Harijan Movement,Home Rule,Non Cooperation,1,UPSC
Which planet has the largest number of moons?,Earth,Jupiter,Saturn,Mars,2,UPSC
Which constitutional amendment introduced Panchayati Raj?,61st,73rd,74th,86th,1,UPSC
Which Indian river is longest entirely within India?,Ganga,Godavari,Narmada,Krishna,1,UPSC
Which sector contributes maximum to India’s GDP?,Agriculture,Industry,Services,Mining,2,UPSC
Which instrument measures atmospheric pressure?,Thermometer,Barometer,Hygrometer,Anemometer,1,UPSC
Who was the last Mughal ruler?,Bahadur Shah Zafar,Akbar II,Shah Alam II,Aurangzeb,0,UPSC
Which policy aims at reducing carbon emissions?,Fiscal Responsibility Act,National Action Plan on Climate Change,Industrial Policy,Foreign Trade Policy,1,UPSC
Which Indian state has the longest coastline?,Tamil Nadu,Gujarat,Andhra Pradesh,Odisha,1,UPSC
Which Fundamental Duty relates to scientific temper?,Article 51A(h),Article 51A(a),Article 51A(g),Article 51A(j),0,UPSC
Which river originates from Amarkantak?,Narmada,Tapi,Godavari,Mahanadi,0,UPSC
Which metal is liquid at room temperature?,Iron,Mercury,Silver,Gold,1,UPSC
Who chaired the Constituent Assembly?,Jawaharlal Nehru,Dr Rajendra Prasad,B R Ambedkar,Sardar Patel,1,UPSC
Which gas is known as laughing gas?,Nitrogen dioxide,Nitrous oxide,Carbon monoxide,Sulphur dioxide,1,UPSC
Which Indian port is the largest?,Mumbai,Kandla,Chennai,Visakhapatnam,1,UPSC
Which act introduced Dyarchy in provinces?,Government of India Act 1909,Government of India Act 1919,Government of India Act 1935,Indian Councils Act 1892,1,UPSC
Which Indian state shares border with Myanmar?,Manipur,Himachal Pradesh,Tripura,Sikkim,0,UPSC
Which index measures inflation at consumer level?,WPI,CPI,IIP,HDI,1,UPSC
Which crop is a Kharif crop?,Wheat,Mustard,Rice,Barley,2,UPSC
Which constitutional body supervises elections?,UPSC,ECI,CAG,NITI Aayog,1,UPSC
Which chemical is used for water purification?,Chlorine,Ammonia,Sulphur,Bromine,0,UPSC
