question_text,option_a,option_b,option_c,option_d,correct_index,subject
Fundamental Rights are in which part?,Part II,Part III,Part IV,Part V,1,SSC
Who discovered gravity?,Newton,Einstein,Galileo,Faraday,0,SSC
Which city is called Pink City?,Udaipur,Jodhpur,Jaipur,Ajmer,2,SSC
Chemical symbol Fe stands for?,Fluorine,Iron,Lead,Zinc,1,SSC
Which soil is best for cotton?,Alluvial,Red,Black,Laterite,2,SSC
Which body conducts SSC exams?,UPSC,CBSE,SSC,NTA,2,SSC
Who was the first Indian woman President?,Indira Gandhi,Pratibha Patil,Droupadi Murmu,Sarojini Naidu,1,SSC
Which gas causes global warming?,Oxygen,Nitrogen,Carbon Dioxide,Helium,2,SSC
Which freedom fighter gave the slogan Inquilab Zindabad?,Bhagat Singh,Subhash Bose,Gandhi,Lajpat Rai,0,SSC
Which continent has no permanent population?,Asia,Europe,Antarctica,Australia,2,SSC
Who is the Father of Indian Constitution?,Jawaharlal Nehru,Sardar Patel,B R Ambedkar,Rajendra Prasad,2,SSC
Which vitamin helps in blood clotting?,Vitamin A,Vitamin B,Vitamin C,Vitamin K,3,SSC
Which Indian state has longest coastline?,Tamil Nadu,Gujarat,Andhra Pradesh,Odisha,1,SSC
Who was the last Governor-General of India?,Lord Mountbatten,C Rajagopalachari,Lord Wavell,Lord Irwin,1,SSC
Which gas is filled in balloons?,Oxygen,Hydrogen,Helium,Nitrogen,2,SSC
Which Indian city is Silicon Valley?,Pune,Hyderabad,Bengaluru,Chennai,2,SSC
Which day is celebrated as Republic Day?,15 August,26 January,2 October,14 April,1,SSC
Which element is essential for bones?,Iron,Calcium,Iodine,Sodium,1,SSC
Which river originates from Yamunotri?,Ganga,Yamuna,Sutlej,Brahmaputra,1,SSC
Who was known as Lokmanya?,Tilak,Gandhi,Nehru,Patel,0,SSC
Which device converts AC to DC?,Transformer,Rectifier,Generator,Motor,1,SSC
Which Mughal ruler was called Alamgir?,Akbar,Jahangir,Aurangzeb,Babur,2,SSC
Which state is largest by area?,Rajasthan,Madhya Pradesh,Maharashtra,Uttar Pradesh,0,SSC
Which is the national flower of India?,Rose,Lotus,Lily,Sunflower,1,SSC
Which Indian movement started in 1942?,Non Cooperation,Civil Disobedience,Quit India,Swadeshi,2,SSC
Which gas is released during respiration?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,2,SSC
Who was the first Chief Justice of India?,H J Kania,B R Ambedkar,M C Setalvad,Radhakrishnan,0,SSC
Which is the highest mountain in India?,Kanchenjunga,Nanda Devi,Mount Everest,Annapurna,0,SSC
Which metal is used in electric wires?,Iron,Aluminium,Copper,Silver,2,SSC
